"from","to"
"Cluster_17","Cluster_1"
"phenotype","Cluster_1"
"CASP7","Cluster_1"
"Cluster_1","Cluster_11"
"Cluster_14","Cluster_11"
"Cluster_15","Cluster_11"
"Cluster_16","Cluster_11"
"Cluster_17","Cluster_11"
"Cluster_18","Cluster_11"
"Cluster_19","Cluster_11"
"Cluster_2","Cluster_11"
"Cluster_20","Cluster_11"
"Cluster_21","Cluster_11"
"Cluster_25","Cluster_11"
"Cluster_26","Cluster_11"
"Cluster_27","Cluster_11"
"Cluster_3","Cluster_11"
"Cluster_4","Cluster_11"
"Cluster_6","Cluster_11"
"Cluster_7","Cluster_11"
"Cluster_8","Cluster_11"
"Cluster_9","Cluster_11"
"phenotype","Cluster_11"
"REL","Cluster_11"
"PPARG","Cluster_11"
"TRAF1","Cluster_11"
"GRIN1","Cluster_11"
"CASP7","Cluster_11"
"NAV3","Cluster_11"
"DLG4","Cluster_11"
"CD33","Cluster_11"
"Cluster_1","Cluster_14"
"Cluster_11","Cluster_14"
"Cluster_15","Cluster_14"
"Cluster_16","Cluster_14"
"Cluster_17","Cluster_14"
"Cluster_18","Cluster_14"
"Cluster_19","Cluster_14"
"Cluster_2","Cluster_14"
"Cluster_20","Cluster_14"
"Cluster_21","Cluster_14"
"Cluster_25","Cluster_14"
"Cluster_26","Cluster_14"
"Cluster_27","Cluster_14"
"Cluster_3","Cluster_14"
"Cluster_4","Cluster_14"
"Cluster_6","Cluster_14"
"Cluster_7","Cluster_14"
"Cluster_8","Cluster_14"
"Cluster_9","Cluster_14"
"phenotype","Cluster_14"
"REL","Cluster_14"
"PPARG","Cluster_14"
"TRAF1","Cluster_14"
"GRIN1","Cluster_14"
"NAV3","Cluster_14"
"DLG4","Cluster_14"
"CD33","Cluster_14"
"Cluster_1","Cluster_15"
"Cluster_11","Cluster_15"
"Cluster_14","Cluster_15"
"Cluster_16","Cluster_15"
"Cluster_17","Cluster_15"
"Cluster_18","Cluster_15"
"Cluster_19","Cluster_15"
"Cluster_2","Cluster_15"
"Cluster_20","Cluster_15"
"Cluster_21","Cluster_15"
"Cluster_25","Cluster_15"
"Cluster_26","Cluster_15"
"Cluster_27","Cluster_15"
"Cluster_3","Cluster_15"
"Cluster_4","Cluster_15"
"Cluster_6","Cluster_15"
"Cluster_7","Cluster_15"
"Cluster_8","Cluster_15"
"Cluster_9","Cluster_15"
"phenotype","Cluster_15"
"REL","Cluster_15"
"PPARG","Cluster_15"
"TRAF1","Cluster_15"
"GRIN1","Cluster_15"
"CASP7","Cluster_15"
"NAV3","Cluster_15"
"DLG4","Cluster_15"
"CD33","Cluster_15"
"Cluster_1","Cluster_16"
"Cluster_11","Cluster_16"
"Cluster_14","Cluster_16"
"Cluster_15","Cluster_16"
"Cluster_17","Cluster_16"
