"from","to"
"Cluster_1","PatDemo_educ"
"Cluster_11","PatDemo_educ"
"Cluster_14","PatDemo_educ"
"Cluster_15","PatDemo_educ"
"Cluster_16","PatDemo_educ"
"Cluster_17","PatDemo_educ"
"Cluster_18","PatDemo_educ"
"Cluster_19","PatDemo_educ"
"Cluster_2","PatDemo_educ"
"Cluster_20","PatDemo_educ"
"Cluster_21","PatDemo_educ"
"Cluster_25","PatDemo_educ"
"Cluster_26","PatDemo_educ"
"Cluster_27","PatDemo_educ"
"Cluster_3","PatDemo_educ"
"Cluster_4","PatDemo_educ"
"Cluster_6","PatDemo_educ"
"Cluster_7","PatDemo_educ"
"Cluster_8","PatDemo_educ"
"Cluster_9","PatDemo_educ"
"phenotype","PatDemo_educ"
"PatDemo_sex","PatDemo_educ"
"PatDemo_apoe","PatDemo_educ"
"PatDemo_age","PatDemo_educ"
"PatDemo_brainregion","PatDemo_educ"
"REL","PatDemo_educ"
"PPARG","PatDemo_educ"
"TRAF1","PatDemo_educ"
"GRIN1","PatDemo_educ"
"CASP7","PatDemo_educ"
"NAV3","PatDemo_educ"
"DLG4","PatDemo_educ"
"CD33","PatDemo_educ"
"Cluster_1","PatDemo_sex"
"Cluster_11","PatDemo_sex"
"Cluster_14","PatDemo_sex"
"Cluster_15","PatDemo_sex"
"Cluster_16","PatDemo_sex"
"Cluster_17","PatDemo_sex"
"Cluster_18","PatDemo_sex"
"Cluster_19","PatDemo_sex"
"Cluster_2","PatDemo_sex"
"Cluster_20","PatDemo_sex"
"Cluster_21","PatDemo_sex"
"Cluster_25","PatDemo_sex"
"Cluster_26","PatDemo_sex"
"Cluster_27","PatDemo_sex"
"Cluster_3","PatDemo_sex"
"Cluster_4","PatDemo_sex"
"Cluster_6","PatDemo_sex"
"Cluster_7","PatDemo_sex"
"Cluster_8","PatDemo_sex"
"Cluster_9","PatDemo_sex"
"phenotype","PatDemo_sex"
"PatDemo_educ","PatDemo_sex"
"PatDemo_apoe","PatDemo_sex"
"PatDemo_age","PatDemo_sex"
"PatDemo_brainregion","PatDemo_sex"
"REL","PatDemo_sex"
"PPARG","PatDemo_sex"
"TRAF1","PatDemo_sex"
"GRIN1","PatDemo_sex"
"CASP7","PatDemo_sex"
"NAV3","PatDemo_sex"
"DLG4","PatDemo_sex"
"CD33","PatDemo_sex"
"Cluster_1","PatDemo_apoe"
"Cluster_11","PatDemo_apoe"
"Cluster_14","PatDemo_apoe"
"Cluster_15","PatDemo_apoe"
"Cluster_16","PatDemo_apoe"
"Cluster_17","PatDemo_apoe"
"Cluster_18","PatDemo_apoe"
"Cluster_19","PatDemo_apoe"
"Cluster_2","PatDemo_apoe"
"Cluster_20","PatDemo_apoe"
"Cluster_21","PatDemo_apoe"
"Cluster_25","PatDemo_apoe"
"Cluster_26","PatDemo_apoe"
"Cluster_27","PatDemo_apoe"
"Cluster_3","PatDemo_apoe"
"Cluster_4","PatDemo_apoe"
"Cluster_6","PatDemo_apoe"
"Cluster_7","PatDemo_apoe"
"Cluster_8","PatDemo_apoe"
"Cluster_9","PatDemo_apoe"
"phenotype","PatDemo_apoe"
"PatDemo_educ","PatDemo_apoe"
"PatDemo_sex","PatDemo_apoe"
"PatDemo_age","PatDemo_apoe"
"PatDemo_brainregion","PatDemo_apoe"
"REL","PatDemo_apoe"
"PPARG","PatDemo_apoe"
"TRAF1","PatDemo_apoe"
"GRIN1","PatDemo_apoe"
"CASP7","PatDemo_apoe"
"NAV3","PatDemo_apoe"
"DLG4","PatDemo_apoe"
"CD33","PatDemo_apoe"
"Cluster_1","PatDemo_brainregion"
"Cluster_11","PatDemo_brainregion"
"Cluster_14","PatDemo_brainregion"
"Cluster_15","PatDemo_brainregion"
"Cluster_16","PatDemo_brainregion"
"Cluster_17","PatDemo_brainregion"
"Cluster_18","PatDemo_brainregion"
"Cluster_19","PatDemo_brainregion"
"Cluster_2","PatDemo_brainregion"
"Cluster_20","PatDemo_brainregion"
"Cluster_21","PatDemo_brainregion"
"Cluster_25","PatDemo_brainregion"
"Cluster_26","PatDemo_brainregion"
"Cluster_27","PatDemo_brainregion"
"Cluster_3","PatDemo_brainregion"
"Cluster_4","PatDemo_brainregion"
"Cluster_6","PatDemo_brainregion"
"Cluster_7","PatDemo_brainregion"
"Cluster_8","PatDemo_brainregion"
"Cluster_9","PatDemo_brainregion"
"phenotype","PatDemo_brainregion"
"PatDemo_educ","PatDemo_brainregion"
"PatDemo_sex","PatDemo_brainregion"
"PatDemo_apoe","PatDemo_brainregion"
"PatDemo_age","PatDemo_brainregion"
"REL","PatDemo_brainregion"
"PPARG","PatDemo_brainregion"
"TRAF1","PatDemo_brainregion"
"GRIN1","PatDemo_brainregion"
"CASP7","PatDemo_brainregion"
"NAV3","PatDemo_brainregion"
"DLG4","PatDemo_brainregion"
"CD33","PatDemo_brainregion"
"phenotype","Cluster_1"
"phenotype","Cluster_11"
"phenotype","Cluster_14"
"phenotype","Cluster_15"
"phenotype","Cluster_16"
"phenotype","Cluster_17"
"phenotype","Cluster_18"
"phenotype","Cluster_19"
"phenotype","Cluster_2"
"phenotype","Cluster_20"
"phenotype","Cluster_21"
"phenotype","Cluster_25"
"phenotype","Cluster_26"
"phenotype","Cluster_27"
"phenotype","Cluster_3"
"phenotype","Cluster_4"
"phenotype","Cluster_6"
"phenotype","Cluster_7"
"phenotype","Cluster_8"
"phenotype","Cluster_9"
"phenotype","PatDemo_age"
"phenotype","REL"
"phenotype","PPARG"
"phenotype","TRAF1"
"phenotype","GRIN1"
"phenotype","CASP7"
"phenotype","NAV3"
"phenotype","DLG4"
"phenotype","CD33"
