gene	clust
TREM2	1
GSK3B	1
NFKB1	1
MIR34A	1
IL4	1
IFNB1	23
SIRPB1	1
ADAM10	1
GNLY	1
CCL2	1
IFNA1	1
TRAF3	5
IRF3	1
TBK1	5
IRF7	2
TRAF3IP2	2
TRAF2	2
IL6	1
LAT	2
TRAF6	2
BIRC2	2
IKBKG	2
PARK7	2
SNCA	1
HTT	2
IL18	1
MAPT	1
APP	1
REL	10
RORC	1
GPR3	25
PSEN1	1
IL1B	1
BACE1	1
SCARF1	1
SCARB1	1
PICALM	1
GRB2	1
FBXL2	1
NEDD8	11
TP53	1
CR1	1
DYRK1A	1
IL34	4
TGFB2	4
ARC	1
DNM2	1
INS	12
MIR29B1	1
MIR146A	3
PTGS2	3
MIR27B	13
TNF	1
NFKB2	1
MIR124.1	1
FTL	1
BLMH	1
RELA	1
BCL2L1	1
EGR1	1
PSEN2	1
FASLG	1
PLAT	1
PLG	1
CD47	1
F2	1
EDN1	1
CDKN1B	1
RB1	1
PLAUR	1
MARCKS	1
IFNG	1
CYP27B1	1
A2M	1
ADAM17	1
AGER	8
NFATC1	8
GRK2	1
CSF1	1
LDLR	27
CAST	6
CREB1	6
FBXO2	1
BAG1	1
CDC37	1
CDK5	1
TPPP	7
JUN	7
EIF2AK2	1
EIF2S1	1
TGFB1	4
CLU	1
BCL2L11	1
GDNF	14
CASP3	14
IL10	1
CASR	1
APH1A	15
MAPK8	1
RELN	1
DAB1	1
GRIA3	1
COL1A1	1
MAPK1	1
GNAI1	1
PPARG	13
PRKD3	1
PRKD1	1
PRKD2	1
HSPB6	9
CXCL8	9
HSPB2	0
CCR2	9
NFE2L2	1
CASP1	1
BDNF	1
OSM	1
CHI3L1	1
DNMT1	16
SP1	16
HINFP	1
MIR107	1
H3F3A	1
CX3CR1	1
TP73	1
RELB	1
ITGA5	1
TLR4	1
DKK1	1
FOS	1
MAP2	1
CCND1	1
CXCL2	1
KLF10	1
BMP2	1
IL13	1
ITGB2	1
TYROBP	1
MAP3K14	2
TICAM1	17
IKBKE	5
TRAF5	2
CXCL1	2
RNF216	5
CRP	1
APOE	1
SCARA5	1
KAT5	1
CALHM1	1
IDE	1
TGFB3	4
GSK3A	1
LRP2	1
SRC	18
APBA2	18
THBS1	1
DDIT3	1
XBP1	19
PRKCD	1
HSPA1A	1
SOD1	1
CYCS	1
BCL2	1
GRK5	1
ACHE	20
APPBP2	1
FURIN	1
PAWR	1
CSNK1A1	1
UBE2I	1
AKT1	1
GSAP	1
ITGB1	21
MMP9	21
APBB1	1
NAE1	1
PSENEN	1
AKAP13	1
MAPK14	1
BACE2	1
GRIN2A	1
IL12B	1
CD14	1
TLR2	1
IL1A	1
HSPB3	0
C5	1
S100A9	1
CD274	1
MIR29A	22
SPTBN4	1
ITGB3	1
SDC1	1
CCR7	1
SORL1	1
CRH	1
DKK4	1
NEFH	1
TIMP1	1
TREML2	1
SYK	1
DOK3	1
