"from","to"
"TRAF1","Cluster_1"
"Cluster_4","Cluster_1"
"Cluster_4","Cluster_2"
"Cluster_2","Cluster_1"
"REL","Cluster_1"
"Cluster_25","Cluster_1"
"Cluster_11","Cluster_1"
"GRIN1","Cluster_1"
"PPARG","Cluster_1"
"Cluster_27","Cluster_1"
"Cluster_15","Cluster_1"
"Cluster_17","Cluster_2"
"Cluster_9","Cluster_1"
"Cluster_3","Cluster_1"
"Cluster_19","Cluster_1"
"Cluster_8","Cluster_1"
"Cluster_20","Cluster_1"
"Cluster_6","Cluster_1"
"Cluster_14","Cluster_1"
"Cluster_16","Cluster_1"
"NAV3","Cluster_1"
"TRAF1","Cluster_2"
"Cluster_21","Cluster_1"
"CASP7","Cluster_14"
"CD33","Cluster_9"
"CD33","Cluster_1"
"TRAF1","Cluster_4"
"Cluster_7","Cluster_1"
"Cluster_9","Cluster_2"
"DLG4","Cluster_1"
"Cluster_26","Cluster_1"
"Cluster_18","Cluster_1"
